"var","par","lab","mean","se_mean","sd","X2.5.","X10.","X50.","X90.","X97.5.","n_eff","Rhat"
"nh3","b_t[1]","Sa",-0.14121119650222,0.000225565524991559,0.0178254265181235,-0.175333511723345,-0.163805056924045,-0.141513591131871,-0.118024068176534,-0.106650893105451,6245.02833499122,0.999780237826588
"nh3","b_t[2]","Ly",-0.0504309248670367,0.000228574039091243,0.0169692627000263,-0.0842445565661342,-0.0725521352721414,-0.0502777662269762,-0.0287460748857995,-0.0177489168536663,5511.52955486833,0.999738610041322
"nh3","b_t[3]","Ol",-0.0920711330437219,0.00022247681584273,0.0182102434227098,-0.128401705886959,-0.11502538338441,-0.0918474950975492,-0.0691703682297651,-0.0570099105712398,6699.80221563011,0.999412412256549
"nh3","b_t[4]","Br",-0.046741137513903,0.0002666180731575,0.0209893378556632,-0.0880795816074966,-0.0738267895173834,-0.0468581840037595,-0.0198725123904851,-0.00595467952221879,6197.52526010245,0.999379753568947
"nh3","b_t[5]","Fe",-0.020719339441004,0.00024534488819791,0.0189226644178727,-0.0569484383820453,-0.0450413849496904,-0.020616650882545,0.00329841619989663,0.0169453051802143,5948.54220615057,0.999254464444591
"nh3","b_t[6]","D4",-0.0431096506701161,0.000261586032646708,0.0180198822810401,-0.0777796386713874,-0.0661987236133918,-0.043028963668865,-0.0197820621853629,-0.00800169473800522,4745.42153416389,1.00031621610357
"nh3","b_t[7]","D8",0.134968345013764,0.00111853891389152,0.0613872572025445,0.0180441179590314,0.0573321907003897,0.134464165928772,0.214032720128224,0.257674820847166,3011.99511606023,1.00059499633399
"nh3","b_t[8]","L4",-0.0369887428485898,0.000345088776875331,0.0211394619812499,-0.0785246739060225,-0.0640483503025151,-0.0371773072705329,-0.00974267729127384,0.00361155300087854,3752.54742341217,0.999423055830432
"nh3","b_t[9]","L1",-0.0555663158846585,0.000620957276415363,0.0473872423495473,-0.149618888443464,-0.116698859281346,-0.0552415691375697,0.00524579818304962,0.038510974332478,5823.70585175147,0.999571845800944
"nh3","b_t[10]","Ls",0.0978486206979527,0.0011847509517492,0.0647922914500541,-0.0221155673156684,0.017952584233501,0.0945843228622288,0.184813218393275,0.233965695864303,2990.83563509456,1.00062520961698
"nh3","b_t[11]","Ln",0.0221156314690497,0.00138689942540945,0.0717237144644485,-0.106422736065453,-0.0658988940547744,0.0183569771155001,0.115686253755895,0.171742158399866,2674.4569367393,1.00075168297162
"tss","b_d","degrd",-0.153420446989423,0.00125904048047662,0.044994530804695,-0.241914442808839,-0.207109093939338,-0.152924371566304,-0.101558514904604,-0.0667342088531632,1277.14458825645,1.00253693057616
"tss","b_r","restr",0.0320467785295786,0.00346526448337007,0.165434792547349,-0.294502219117715,-0.181914902010053,0.033924390316097,0.244059205040759,0.358599810553466,2279.19208273361,1.00205496282295
"tss","b_dp","degrd:rain1",0.0663807995808006,0.000237719005204869,0.0154563712391242,0.0361216061295982,0.0462516936724288,0.0663449745749913,0.0864593360947205,0.0959522871869917,4227.53558823355,1.00108264238743
"tss","b_rp","restr:rain1",-0.127415772903605,0.00162365203631649,0.100757800885448,-0.321131959263835,-0.258755207350285,-0.128517935987863,-0.000369946369909391,0.0694861553806782,3850.98154324439,0.999294125037022
"tss","b_add1","season",0.0473734247548653,0.000115217068945794,0.00877234583599047,0.0299980047758826,0.0361750369423972,0.0474757897557758,0.0584267916360214,0.0644960343872632,5796.92716532681,1.00011462346287
"tss","t_mu","time (mean)",-0.0210262713662952,0.000527715934335111,0.0277780027559764,-0.0779943477244427,-0.0555868039130956,-0.0204499005735957,0.0124948519517346,0.0324939082646255,2770.77727864016,1.00082357702212
"tss","b_auto_t","autoT",0.18034698895485,0.000367997484242539,0.0268119436104526,0.12746627148853,0.145496677023103,0.181292869348165,0.213854717660898,0.232704618597064,5308.43978342302,0.999543810640484
"tss","b_auto_s","autoS",0.641052226463575,0.000802770159918269,0.0619326787497825,0.518976270507211,0.561904340006613,0.641625965610108,0.720500299771278,0.75939723506735,5951.92277917348,0.99913119012367
"tss","a_s[1]","Sa",0.0864451934925332,0.00111223213222701,0.0431624215517007,0.00387116905936006,0.0337130094489014,0.0858524950160982,0.140665012480647,0.172338825070655,1505.98528638728,1.00095656641512
"tss","a_s[2]","Ly",0.052679411357256,0.00201357546981298,0.0740068767928241,-0.0920646369770143,-0.0354581077595721,0.0534174345523355,0.143878447256698,0.201286859776855,1350.85374062876,1.00286838590729
